Numero_Dossier,Date_Lecture,Date_Audience,Avocat_Requerant,Type_Decision,Type_Recours,Formation_Jugement
405548,24/11/2021,08/10/2021,SCP BENABENT,Décision,Contentieux des pensions, 4ème chambre jugeant seule
420608,18/11/2021,25/10/2021,CABINET COLIN - STOCLET,Décision,Excès de pouvoir,10ème chambre jugeant seule
422295,19/11/2021,21/10/2021,"SCP BARADUC, DUHAMEL, RAMEIX",Décision,Plein contentieux,10ème chambre jugeant seule
430655,15/11/2021,28/10/2021,DOCHLER GATE EMMA,Décision,Plein contentieux, 9ème chambre jugeant seule
430958,22/11/2021,22/10/2021,SCP RICHARD,Décision,Plein contentieux,4ème et 1ère chambres réunies
431275,22/11/2021,22/10/2021,SCP GOUZ-FITOUSSI,Décision,Excès de pouvoir,4ème et 1ère chambres réunies
431323,15/11/2021,28/10/2021,SCP BOUTET-HOURDEAUX,Décision,Plein contentieux, 9ème chambre jugeant seule
431431,22/11/2021,22/10/2021,"THOUVENIN, COUDRAY, GREVY",Décision,Excès de pouvoir,4ème et 1ère chambres réunies
431576,05/11/2021,18/10/2021,,Décision,Plein contentieux,9ème et 10ème chambres réunies
431579,05/11/2021,18/10/2021,,Décision,Plein contentieux,9ème et 10ème chambres réunies
431724,22/11/2021,22/10/2021,"SCP PIWNICA, MOLINIE",Décision,Excès de pouvoir,4ème et 1ère chambres réunies
431747,05/11/2021,18/10/2021,CABINET BRIARD,Décision,,9ème et 10ème chambres réunies
431927,22/11/2021,22/10/2021,"SCP CELICE, TEXIDOR, PERIER",Décision,Excès de pouvoir,4ème et 1ère chambres réunies
431980,18/11/2021,25/10/2021,FITZJEAN O COBHTHAIGH,Décision,Excès de pouvoir,10ème chambre jugeant seule
432331,24/11/2021,08/10/2021,"SCP LYON-CAEN, THIRIEZ",Décision,Excès de pouvoir, 4ème chambre jugeant seule
432576,23/11/2021,15/10/2021,PONELLE,Décision,Excès de pouvoir, 4ème chambre jugeant seule
432819,15/11/2021,08/10/2021,"SCP PIWNICA, MOLINIE",Décision,Excès de pouvoir,6ème et 5ème chambres réunies
433075,24/11/2021,08/10/2021,"THOUVENIN, COUDRAY, GREVY",Décision,Excès de pouvoir, 4ème chambre jugeant seule
433212,05/11/2021,18/10/2021,SARL ORTSCHEIDT,Décision,Plein contentieux,9ème et 10ème chambres réunies
433367,05/11/2021,18/10/2021,CABINET BRIARD,Décision,Plein contentieux,9ème et 10ème chambres réunies
433536,22/11/2021,22/10/2021,"THOUVENIN, COUDRAY, GREVY",Décision,Excès de pouvoir,4ème et 1ère chambres réunies
434011,24/11/2021,22/10/2021,"SCP OHL, VEXLIARD",Décision,Plein contentieux,6ème et 5ème chambres réunies
434036,05/11/2021,18/10/2021,CABINET BRIARD,Décision,Plein contentieux,9ème et 10ème chambres réunies
434288,09/11/2021,14/10/2021,"SCP FOUSSARD, FROGER",Décision,Plein contentieux,1ère chambre jugeant seule
434742,15/11/2021,08/10/2021,"SCP PIWNICA, MOLINIE",Décision,Plein contentieux,6ème et 5ème chambres réunies
434892,24/11/2021,08/10/2021,"SCP THOUIN-PALAT, BOUCARD",Décision,Excès de pouvoir, 4ème chambre jugeant seule
435153,19/11/2021,20/10/2021,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Décision,Excès de pouvoir,1ère et 4ème chambres réunies
435178,24/11/2021,22/10/2021,SCP GASCHIGNARD,Décision,Excès de pouvoir,6ème et 5ème chambres réunies
435646,10/11/2021,14/10/2021,"SCP SEVAUX, MATHONNET",Décision,Excès de pouvoir, 5ème chambre jugeant seule
435662,15/11/2021,08/10/2021,"SCP LYON-CAEN, THIRIEZ",Décision,Excès de pouvoir,6ème et 5ème chambres réunies
435698,24/11/2021,22/10/2021,"SCP BORE, SALVE DE BRUNETON, MEGRET",Décision,Excès de pouvoir,6ème et 5ème chambres réunies
435984,08/11/2021,13/10/2021,"SCP CELICE, TEXIDOR, PERIER",Décision,Excès de pouvoir,3ème et 8ème chambres réunies
436071,24/11/2021,22/10/2021,"SCP NICOLAY, DE LANOUVELLE, HANNOTIN",Décision,Plein contentieux,6ème et 5ème chambres réunies
436304,22/11/2021,21/10/2021,MOAYED,Décision,Plein contentieux, 3ème chambre jugeant seule
436749,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
437105,24/11/2021,22/10/2021,LE PRADO,Décision,Excès de pouvoir,6ème et 5ème chambres réunies
437141,19/11/2021,12/11/2021,"SCP ROCHETEAU, UZAN-SARANO;SCP FOUSSARD, FROGER",Décision,Excès de pouvoir,Section du Contentieux
437180,22/11/2021,21/10/2021,"SCP NICOLAY, DE LANOUVELLE, HANNOTIN",Décision,Plein contentieux, 8ème chambre jugeant seule
437329,17/11/2021,28/09/2021,"SCP DE NERVO, POUPET",Décision,Plein contentieux, 8ème chambre jugeant seule
437375,24/11/2021,22/10/2021,SARL DIDIER-PINET,Décision,Excès de pouvoir,6ème et 5ème chambres réunies
437613,15/11/2021,08/10/2021,SELARL 2AC2E,Décision,Excès de pouvoir,6ème et 5ème chambres réunies
437700,05/11/2021,18/10/2021,,Décision,Plein contentieux,9ème et 10ème chambres réunies
437812,15/11/2021,28/10/2021,"SCP BARADUC, DUHAMEL, RAMEIX",Décision,, 9ème chambre jugeant seule
437813,15/11/2021,28/10/2021,"SCP BARADUC, DUHAMEL, RAMEIX",Décision,Plein contentieux, 9ème chambre jugeant seule
437821,18/11/2021,25/10/2021,CABINET COLIN - STOCLET,Décision,Plein contentieux,10ème chambre jugeant seule
437958,24/11/2021,08/10/2021,MAIXANT,Décision,Excès de pouvoir, 4ème chambre jugeant seule
437996,05/11/2021,18/10/2021,SARL DIDIER-PINET,Décision,Plein contentieux,9ème et 10ème chambres réunies
438056,22/11/2021,21/10/2021,SCP BOULLOCHE,Décision,Plein contentieux, 3ème chambre jugeant seule
438068,24/11/2021,08/10/2021,HERIN,Décision,Excès de pouvoir, 4ème chambre jugeant seule
438388,09/11/2021,18/10/2021,"SCP PIWNICA, MOLINIE",Décision,Plein contentieux,2ème et 7ème chambres réunies
438491,24/11/2021,22/10/2021,"SCP FOUSSARD, FROGER",Décision,Excès de pouvoir,6ème et 5ème chambres réunies
438880,23/11/2021,15/10/2021,"SCP LYON-CAEN, THIRIEZ",Décision,Plein contentieux, 4ème chambre jugeant seule
438998,16/11/2021,28/09/2021,"SCP PIWNICA, MOLINIE",Décision,Plein contentieux, 8ème chambre jugeant seule
438999,16/11/2021,28/09/2021,"SCP PIWNICA, MOLINIE",Décision,Plein contentieux, 8ème chambre jugeant seule
439000,16/11/2021,28/09/2021,"SCP PIWNICA, MOLINIE",Décision,Plein contentieux, 8ème chambre jugeant seule
439014,15/11/2021,28/10/2021,CMS FRANCIS LEFEBVRE AVOCATS,Décision,Plein contentieux, 9ème chambre jugeant seule
439350,10/11/2021,14/10/2021,SELARL D'AVOCAT PIERRE ANTOINE PERES,Décision,Plein contentieux, 5ème chambre jugeant seule
439405,04/11/2021,14/10/2021,SCP GASCHIGNARD,Décision,Plein contentieux, 2ème chambre jugeant seule
439494,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
439498,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
439609,17/11/2021,28/09/2021,"SCP PIWNICA, MOLINIE",Décision,Plein contentieux, 8ème chambre jugeant seule
439891,09/11/2021,18/10/2021,"SCP FOUSSARD, FROGER",Décision,Plein contentieux,2ème et 7ème chambres réunies
439966,10/11/2021,13/10/2021,"SCP GATINEAU, FATTACCINI, REBEYROL",Décision,Excès de pouvoir,10ème et 9ème chambres réunies
440028,09/11/2021,18/10/2021,"SCP RICARD, BENDEL-VASSEUR, GHNASSIA",Décision,Excès de pouvoir,2ème et 7ème chambres réunies
440080,15/11/2021,28/10/2021,"SCP CELICE, TEXIDOR, PERIER",Décision,Plein contentieux, 9ème chambre jugeant seule
440132,10/11/2021,14/10/2021,SCP BUK LAMENT - ROBILLOT,Décision,Plein contentieux, 5ème chambre jugeant seule
440236,19/11/2021,20/10/2021,"SCP LYON-CAEN, THIRIEZ",Décision,Excès de pouvoir,1ère et 4ème chambres réunies
440237,19/11/2021,20/10/2021,"SCP LYON-CAEN, THIRIEZ",Décision,Excès de pouvoir,1ère et 4ème chambres réunies
440721,19/11/2021,20/10/2021,"SCP PIWNICA, MOLINIE",Décision,Excès de pouvoir,1ère et 4ème chambres réunies
440755,19/11/2021,21/10/2021,SCP RICHARD,Décision,Plein contentieux,10ème chambre jugeant seule
440802,19/11/2021,20/10/2021,,Décision,,1ère et 4ème chambres réunies
441064,10/11/2021,14/10/2021,"SCP CELICE, TEXIDOR, PERIER",Décision,Plein contentieux, 5ème chambre jugeant seule
441067,05/11/2021,13/10/2021,CABINET MUNIER-APAIRE,Décision,Excès de pouvoir,7ème et 2ème chambres réunies
441118,22/11/2021,22/10/2021,SCP BUK LAMENT - ROBILLOT,Décision,Excès de pouvoir,4ème et 1ère chambres réunies
441203,09/11/2021,18/10/2021,"SCP GADIOU, CHEVALLIER",Décision,Excès de pouvoir,2ème et 7ème chambres réunies
441294,09/11/2021,14/10/2021,,Décision,Excès de pouvoir,1ère chambre jugeant seule
441374,10/11/2021,14/10/2021,CABINET COLIN - STOCLET,Décision,Excès de pouvoir, 5ème chambre jugeant seule
441397,18/11/2021,25/10/2021,"THOUVENIN, COUDRAY, GREVY",Décision,Plein contentieux,10ème chambre jugeant seule
441542,10/11/2021,21/10/2021,"SCP ZRIBI, TEXIER",Décision,Plein contentieux, 7ème chambre jugeant seule
441700,19/11/2021,21/10/2021,"SCP ZRIBI, TEXIER",Décision,Plein contentieux,10ème chambre jugeant seule
441820,22/11/2021,22/10/2021,"SCP WAQUET, FARGE, HAZAN",Décision,Plein contentieux,8ème et 3ème chambres réunies
441908,17/11/2021,28/09/2021,CABINET BORNHAUSER,Décision,Excès de pouvoir, 8ème chambre jugeant seule
442348,18/11/2021,16/11/2021,LE PRADO,Décision,Excès de pouvoir,10ème chambre jugeant seule
442381,15/11/2021,28/10/2021,SCP BUK LAMENT - ROBILLOT,Décision,Plein contentieux, 9ème chambre jugeant seule
442688,19/11/2021,21/10/2021,"SCP NICOLAY, DE LANOUVELLE, HANNOTIN",Décision,Excès de pouvoir,10ème chambre jugeant seule
442768,19/11/2021,21/10/2021,,Décision,Excès de pouvoir,10ème chambre jugeant seule
442861,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442864,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442865,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442887,18/11/2021,25/10/2021,"SCP DELAMARRE, JEHANNIN",Décision,Excès de pouvoir,10ème chambre jugeant seule
442889,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442893,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442896,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442897,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442900,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442904,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442906,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442912,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442914,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442915,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442917,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442918,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
442919,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
443105,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
443138,04/11/2021,14/10/2021,SOLTNER,Décision,Excès de pouvoir, 2ème chambre jugeant seule
443140,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
443190,15/11/2021,22/10/2021,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Décision,Plein contentieux,8ème et 3ème chambres réunies
443310,19/11/2021,20/10/2021,,Décision,Plein contentieux,1ère et 4ème chambres réunies
443357,04/11/2021,14/10/2021,"SCP ROCHETEAU, UZAN-SARANO",Décision,Plein contentieux, 2ème chambre jugeant seule
443368,05/11/2021,13/10/2021,"SCP BAUER-VIOLAS, FESCHOTTE-DESBOIS, SEBAGH",Décision,Plein contentieux,7ème et 2ème chambres réunies
443436,10/11/2021,21/10/2021,,Décision,, 7ème chambre jugeant seule
443517,18/11/2021,25/10/2021,"SCP PIWNICA, MOLINIE",Décision,Excès de pouvoir,10ème chambre jugeant seule
443615,04/11/2021,30/09/2021,SCP RICHARD,Décision,Plein contentieux,10ème chambre jugeant seule
443780,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
443785,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
443789,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
443790,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
443791,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
443792,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
443794,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
443810,05/11/2021,13/10/2021,"SCP KRIVINE, VIAUD",Décision,Plein contentieux,7ème et 2ème chambres réunies
443858,19/11/2021,20/10/2021,"SCP LYON-CAEN, THIRIEZ",Décision,Excès de pouvoir,1ère et 4ème chambres réunies
443889,24/11/2021,08/10/2021,"SCP PIWNICA, MOLINIE",Décision,Excès de pouvoir, 4ème chambre jugeant seule
443966,22/11/2021,21/10/2021,CABINET BRIARD,Décision,Plein contentieux, 8ème chambre jugeant seule
443967,22/11/2021,21/10/2021,CABINET BRIARD,Décision,Plein contentieux, 8ème chambre jugeant seule
443970,22/11/2021,21/10/2021,,Décision,Plein contentieux, 8ème chambre jugeant seule
443972,22/11/2021,21/10/2021,CABINET BRIARD,Décision,Plein contentieux, 8ème chambre jugeant seule
443978,15/11/2021,08/10/2021,SCP SPINOSI,Décision,Plein contentieux,6ème et 5ème chambres réunies
444052,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
444350,16/11/2021,14/10/2021,,Décision,Excès de pouvoir, 6ème chambre jugeant seule
444484,22/11/2021,21/10/2021,SCP MELKA-PRIGENT-DRUSCH,Décision,Excès de pouvoir, 3ème chambre jugeant seule
444584,04/11/2021,30/09/2021,,Décision,Excès de pouvoir,10ème chambre jugeant seule
444614,17/11/2021,28/09/2021,"THOUVENIN, COUDRAY, GREVY",Décision,Plein contentieux, 8ème chambre jugeant seule
444625,05/11/2021,13/10/2021,"THOUVENIN, COUDRAY, GREVY",Décision,Plein contentieux,7ème et 2ème chambres réunies
444721,16/11/2021,28/09/2021,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Décision,Plein contentieux, 8ème chambre jugeant seule
444760,16/11/2021,28/09/2021,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Décision,Plein contentieux, 8ème chambre jugeant seule
444923,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
444991,18/11/2021,25/10/2021,"SCP MATUCHANSKY, POUPOT, VALDELIEVRE",Décision,Plein contentieux,10ème chambre jugeant seule
444992,10/11/2021,13/10/2021,"SCP BAUER-VIOLAS, FESCHOTTE-DESBOIS, SEBAGH;SCP DE CHAISEMARTIN, DOUMIC-SEILLER",Décision,Excès de pouvoir,10ème et 9ème chambres réunies
444997,10/11/2021,13/10/2021,"SCP DE CHAISEMARTIN, DOUMIC-SEILLER",Décision,Excès de pouvoir,10ème et 9ème chambres réunies
445197,18/11/2021,08/10/2021,SCP VPNG AVOCATS ASSOCIES,Décision,Plein contentieux, 4ème chambre jugeant seule
445322,04/11/2021,14/10/2021,SCP JEAN-PHILIPPE CASTON,Décision,Plein contentieux, 2ème chambre jugeant seule
445329,10/11/2021,21/10/2021,,Décision,Excès de pouvoir, 7ème chambre jugeant seule
445353,10/11/2021,21/10/2021,,Décision,Excès de pouvoir, 7ème chambre jugeant seule
445401,10/11/2021,14/10/2021,"SCP FOUSSARD, FROGER",Décision,Plein contentieux, 5ème chambre jugeant seule
445466,04/11/2021,14/10/2021,CABINET BRIARD,Décision,Plein contentieux, 2ème chambre jugeant seule
445509,19/11/2021,21/10/2021,"SCP LEDUC, VIGAND",Décision,Excès de pouvoir,10ème chambre jugeant seule
445589,10/11/2021,21/10/2021,,Décision,Excès de pouvoir, 7ème chambre jugeant seule
445632,19/11/2021,21/10/2021,,Décision,Plein contentieux,10ème chambre jugeant seule
445758,22/11/2021,22/10/2021,,Décision,Plein contentieux,4ème et 1ère chambres réunies
445981,17/11/2021,28/09/2021,"SCP LYON-CAEN, THIRIEZ",Décision,Plein contentieux, 8ème chambre jugeant seule
446010,10/11/2021,14/10/2021,"SCP LYON-CAEN, THIRIEZ",Décision,Plein contentieux, 5ème chambre jugeant seule
446154,19/11/2021,21/10/2021,CABINET COLIN - STOCLET,Décision,Plein contentieux,10ème chambre jugeant seule
446209,04/11/2021,14/10/2021,"SCP BAUER-VIOLAS, FESCHOTTE-DESBOIS, SEBAGH",Décision,Excès de pouvoir, 2ème chambre jugeant seule
446482,19/11/2021,04/11/2021,,Décision,Plein contentieux, 2ème chambre jugeant seule
446680,22/11/2021,21/10/2021,IMPERIALI,Décision,Excès de pouvoir, 3ème chambre jugeant seule
446691,15/11/2021,28/10/2021,,Décision,Plein contentieux, 9ème chambre jugeant seule
446758,22/11/2021,21/10/2021,SCP RICHARD,Décision,Plein contentieux, 8ème chambre jugeant seule
447059,10/11/2021,13/10/2021,"SCP ZRIBI, TEXIER",Décision,Plein contentieux,10ème et 9ème chambres réunies
447142,15/11/2021,28/10/2021,"SCP NICOLAY, DE LANOUVELLE, HANNOTIN",Décision,Plein contentieux, 9ème chambre jugeant seule
447230,18/11/2021,08/10/2021,,Décision,Excès de pouvoir, 4ème chambre jugeant seule
447243,22/11/2021,21/10/2021,CABINET ROUSSEAU ET TAPIE,Décision,Plein contentieux, 8ème chambre jugeant seule
447265,10/11/2021,13/10/2021,"SCP CELICE, TEXIDOR, PERIER",Décision,Plein contentieux,10ème et 9ème chambres réunies
447271,09/11/2021,14/10/2021,"SCP NICOLAY, DE LANOUVELLE, HANNOTIN",Décision,Excès de pouvoir,1ère chambre jugeant seule
447279,10/11/2021,13/10/2021,"SCP CELICE, TEXIDOR, PERIER",Décision,Plein contentieux,10ème et 9ème chambres réunies
447293,10/11/2021,13/10/2021,"SCP CELICE, TEXIDOR, PERIER",Décision,Plein contentieux,10ème et 9ème chambres réunies
447309,10/11/2021,13/10/2021,"SCP CELICE, TEXIDOR, PERIER",Décision,Plein contentieux,10ème et 9ème chambres réunies
447310,10/11/2021,13/10/2021,"SCP CELICE, TEXIDOR, PERIER",Décision,Plein contentieux,10ème et 9ème chambres réunies
447392,04/11/2021,14/10/2021,TERRASSE,Décision,Excès de pouvoir, 2ème chambre jugeant seule
447398,16/11/2021,14/10/2021,,Décision,Plein contentieux, 6ème chambre jugeant seule
447681,16/11/2021,14/10/2021,"SCP BAUER-VIOLAS, FESCHOTTE-DESBOIS, SEBAGH",Décision,Plein contentieux, 6ème chambre jugeant seule
447693,10/11/2021,21/10/2021,"CABINET MUNIER-APAIRE;SCP WAQUET, FARGE, HAZAN",Décision,Excès de pouvoir, 7ème chambre jugeant seule
447849,09/11/2021,14/10/2021,PUBLI-JURIS,Décision,Excès de pouvoir,1ère chambre jugeant seule
447910,16/11/2021,14/10/2021,,Décision,Excès de pouvoir, 6ème chambre jugeant seule
447911,16/11/2021,14/10/2021,,Décision,Excès de pouvoir, 6ème chambre jugeant seule
448046,16/11/2021,14/10/2021,,Décision,Plein contentieux, 6ème chambre jugeant seule
448055,18/11/2021,25/10/2021,BALAT,Décision,Excès de pouvoir,10ème chambre jugeant seule
448088,22/11/2021,22/11/2021,,Décision,Excès de pouvoir,Formation spécialisée
448092,05/11/2021,13/10/2021,CABINET ROUSSEAU ET TAPIE,Décision,Excès de pouvoir,7ème et 2ème chambres réunies
448105,10/11/2021,21/10/2021,LE PRADO,Décision,Plein contentieux, 7ème chambre jugeant seule
448123,04/11/2021,14/10/2021,"THOUVENIN, COUDRAY, GREVY",Décision,Excès de pouvoir, 2ème chambre jugeant seule
448129,16/11/2021,28/09/2021,SCP GASCHIGNARD,Décision,Plein contentieux, 8ème chambre jugeant seule
448135,10/11/2021,21/10/2021,CABINET ROUSSEAU ET TAPIE,Décision,Excès de pouvoir, 7ème chambre jugeant seule
448181,22/11/2021,21/10/2021,"SCP CELICE, TEXIDOR, PERIER",Décision,Plein contentieux, 8ème chambre jugeant seule
448187,04/11/2021,14/10/2021,"SCP CELICE, TEXIDOR, PERIER",Décision,, 2ème chambre jugeant seule
448221,09/11/2021,18/10/2021,BLANCHETIER,Décision,Plein contentieux,2ème et 7ème chambres réunies
448231,15/11/2021,22/10/2021,CABINET BRIARD,Décision,,8ème et 3ème chambres réunies
448292,22/11/2021,21/10/2021,"AUDE EVIN & FLORIAN BORG,AVOCATS ASSOCIÉS",Décision,Plein contentieux, 3ème chambre jugeant seule
448318,09/11/2021,18/10/2021,,Décision,Plein contentieux,2ème et 7ème chambres réunies
448324,10/11/2021,21/10/2021,"THOUVENIN, COUDRAY, GREVY",Décision,Excès de pouvoir, 7ème chambre jugeant seule
448373,16/11/2021,28/09/2021,,Décision,Plein contentieux, 8ème chambre jugeant seule
448374,04/11/2021,14/10/2021,SCP SPINOSI,Décision,Plein contentieux, 2ème chambre jugeant seule
448394,22/11/2021,21/10/2021,"SCP BORE, SALVE DE BRUNETON, MEGRET",Décision,Plein contentieux, 8ème chambre jugeant seule
448402,15/11/2021,28/10/2021,"SCP CELICE, TEXIDOR, PERIER",Décision,Plein contentieux, 9ème chambre jugeant seule
448423,09/11/2021,14/10/2021,"SCP HEMERY, THOMAS-RAQUIN, LE GUERER",Décision,,1ère chambre jugeant seule
448424,09/11/2021,14/10/2021,"SCP HEMERY, THOMAS-RAQUIN, LE GUERER",Décision,,1ère chambre jugeant seule
