Departement,Fromage,page_francaise,english_page,Lait
Haute-Marne,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,Vache
Moselle,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,Vache
Savoie,Raclette,http://fr.wikipedia.org/wiki/Raclette,http://en.wikipedia.org/wiki/Raclette,Vache
Hautes-Pyrénées,Ossau-iraty,http://fr.wikipedia.org/wiki/Ossau-iraty,http://en.wikipedia.org/wiki/Ossau-Iraty,Brebis
Lozère,Tome fraîche,http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche,,Vache
Savoie,Bleu de Termignon,http://fr.wikipedia.org/wiki/Bleu_de_Termignon,,Vache
Haute-Loire,Saint Agur,http://fr.wikipedia.org/wiki/Saint_Agur,http://en.wikipedia.org/wiki/Saint_Agur_Blue,Vache
Cantal,Bleu de Thiézac,http://fr.wikipedia.org/wiki/Bleu_de_Thi%C3%A9zac,,Vache
Haute-Corse,Corsica,http://fr.wikipedia.org/wiki/Corsica_%28marque%29,,Brebis
Loire-Atlantique,Chandamour,http://fr.wikipedia.org/wiki/Chandamour,,Vache
Loiret,Pannes cendré,http://fr.wikipedia.org/wiki/Pannes_cendr%C3%A9,,Vache
Lot,Rocamadour,http://fr.wikipedia.org/wiki/Rocamadour_%28fromage%29,http://en.wikipedia.org/wiki/Rocamadour_cheese,Chèvre
Réunion,Petit moka,http://fr.wikipedia.org/wiki/Petit_moka,,Vache
Savoie,Fromage aux noix,http://fr.wikipedia.org/wiki/Fromage_aux_noix,,Vache
Lozère,Laguiole,http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29,http://en.wikipedia.org/wiki/Laguiole_cheese,Vache
Pyrénées-Atlantiques,Abbaye de Belloc,http://fr.wikipedia.org/wiki/Abbaye_de_Belloc_%28fromage%29,http://en.wikipedia.org/wiki/Abbaye_de_Belloc,Brebis
Indre,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,http://en.wikipedia.org/wiki/Sainte-Maure_de_Touraine,Chèvre
Yonne,Soumaintrain,http://fr.wikipedia.org/wiki/Soumaintrain_%28fromage%29,,Vache
Ariège,Le Rogallais,http://fr.wikipedia.org/wiki/Le_Rogallais,,Vache
Aveyron,Société,http://fr.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_%28marque%29,,Brebis
Ariège,Le Moulis,http://fr.wikipedia.org/wiki/Le_Moulis,,Brebis
Eure-et-Loir,Voves cendré,http://fr.wikipedia.org/wiki/Voves_cendr%C3%A9,,Vache
Loiret,Frinault,http://fr.wikipedia.org/wiki/Frinault,,Vache
Lozère,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,http://en.wikipedia.org/wiki/Bleu_d%27Auvergne,Vache
Mayenne,Trappiste de Laval,http://fr.wikipedia.org/wiki/Trappiste_de_Laval,,Vache
Nord,T'chiot biloute,http://fr.wikipedia.org/wiki/T%27chiot_biloute,,Vache
Puy-de-Dôme,Chèvreton,http://fr.wikipedia.org/wiki/Ch%C3%A8vreton,,Chèvre
Réunion,Notre Dame de la Paix,http://fr.wikipedia.org/wiki/Notre_Dame_de_la_Paix,,Vache
Yonne,Abbaye de la Pierre-qui-Vire,http://fr.wikipedia.org/wiki/Abbaye_de_la_Pierre-qui-Vire_%28fromage%29,,Vache
Savoie,Reblochon,http://fr.wikipedia.org/wiki/Reblochon,http://en.wikipedia.org/wiki/Reblochon,Vache
Doubs,Morbier,http://fr.wikipedia.org/wiki/Morbier_%28fromage%29,http://en.wikipedia.org/wiki/Morbier_cheese,Vache
Haut-Rhin,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,Vache
Savoie,Vacherin des Bauges,http://fr.wikipedia.org/wiki/Vacherin_des_Bauges,,Vache
Loir-et-Cher,Selles-sur-cher,http://fr.wikipedia.org/wiki/Selles-sur-cher_%28fromage%29,http://en.wikipedia.org/wiki/Selles-sur-Cher_cheese,Chèvre
Aube,Soumaintrain,http://fr.wikipedia.org/wiki/Soumaintrain_%28fromage%29,,Vache
Ardennes,Rocroi,http://fr.wikipedia.org/wiki/Rocroi_%28fromage%29,,Vache
Aveyron,Rebarbe,http://fr.wikipedia.org/wiki/Rebarbe,,Brebis
Moselle,Tourrée de l'Aubier,http://fr.wikipedia.org/wiki/Tourr%C3%A9e_de_l%27Aubier,,Vache
Savoie,Grataron du Beaufortain,http://fr.wikipedia.org/wiki/Grataron_du_Beaufortain,,Chèvre
Pyrénées-Atlantiques,Ossau-iraty,http://fr.wikipedia.org/wiki/Ossau-iraty,http://en.wikipedia.org/wiki/Ossau-Iraty,Brebis
Cantal,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,http://en.wikipedia.org/wiki/Bleu_d%27Auvergne,Vache
Côte-d'Or,Petit Gaugry,http://fr.wikipedia.org/wiki/Petit_Gaugry,,Vache
Loiret,Chécy,http://fr.wikipedia.org/wiki/Ch%C3%A9cy_%28fromage%29,,Vache
Lozère,Persillé du Malzieu,http://fr.wikipedia.org/wiki/Persill%C3%A9_du_Malzieu,,Brebis
Réunion,Délice de la Sicalait,http://fr.wikipedia.org/wiki/D%C3%A9lice_de_la_Sicalait,,Vache
Charente,Chavroux,http://fr.wikipedia.org/wiki/Chavroux,http://en.wikipedia.org/wiki/Chavroux,Chèvre
Aube,Brie de Melun,http://fr.wikipedia.org/wiki/Brie_de_Melun,,Vache
Aisne,Dauphin,http://fr.wikipedia.org/wiki/Dauphin_%28fromage%29,,Vache
Gard,Picodon,http://fr.wikipedia.org/wiki/Picodon,http://en.wikipedia.org/wiki/Picodon,Chèvre
Hautes-Alpes,Saint-laurent,http://fr.wikipedia.org/wiki/Saint-laurent_%28fromage%29,,Vache
Pyrénées-Atlantiques,Tomette de Brebis,http://fr.wikipedia.org/wiki/Tomette_de_Brebis,,Brebis
Réunion,Mont Bébour,http://fr.wikipedia.org/wiki/Mont_B%C3%A9bour,,Vache
Savoie,Beaufort,http://fr.wikipedia.org/wiki/Beaufort_%28fromage%29,http://en.wikipedia.org/wiki/Beaufort_cheese,Vache
Vienne,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,http://en.wikipedia.org/wiki/Sainte-Maure_de_Touraine,Chèvre
Yonne,Époisses,http://fr.wikipedia.org/wiki/%C3%89poisses_%28fromage%29,http://en.wikipedia.org/wiki/%C3%89poisses_de_Bourgogne,Vache
Yonne,Boule des moines,http://fr.wikipedia.org/wiki/Boule_des_moines,,Vache
Côte-d'Or,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,Vache
Indre-et-Loire,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,http://en.wikipedia.org/wiki/Sainte-Maure_de_Touraine,Chèvre
Gard,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,http://en.wikipedia.org/wiki/P%C3%A9lardon,Chèvre
Haute-Garonne,Cathare,http://fr.wikipedia.org/wiki/Cathare_%28marque%29,http://en.wikipedia.org/wiki/Cathare,Chèvre
Ain,Tracle,http://fr.wikipedia.org/wiki/Tracle,,Vache
Aveyron,Caillé,http://fr.wikipedia.org/wiki/Caill%C3%A9,http://en.wikipedia.org/wiki/Curd,Vache
Cantal,Saint-nectaire,http://fr.wikipedia.org/wiki/Saint-nectaire_%28fromage%29,http://en.wikipedia.org/wiki/Saint-Nectaire,Vache
Puy-de-Dôme,Fourme de Montbrison,http://fr.wikipedia.org/wiki/Fourme_de_Montbrison,http://en.wikipedia.org/wiki/Fourme_de_Montbrison,Vache
Haute-Marne,Langres,http://fr.wikipedia.org/wiki/Langres_%28fromage%29,http://en.wikipedia.org/wiki/Langres_cheese,Vache
Loire,Rigotte de Condrieu,http://fr.wikipedia.org/wiki/Rigotte_de_Condrieu,http://en.wikipedia.org/wiki/Rigotte_de_Condrieu,Chèvre
Ille-et-Vilaine,Petit Billy,http://fr.wikipedia.org/wiki/Petit_Billy,,Chèvre
Morbihan,Tome de Rhuys,http://fr.wikipedia.org/wiki/Tome_de_Rhuys,,Vache
Côte-d'Or,Aisy cendré,http://fr.wikipedia.org/wiki/Aisy_cendr%C3%A9,http://en.wikipedia.org/wiki/Aisy_cendr%C3%A9,Vache
Moselle,Tomme de Gorze,http://fr.wikipedia.org/wiki/Tomme_de_Gorze,,Vache
Pyrénées-Atlantiques,Le Brebiou,http://fr.wikipedia.org/wiki/Le_Brebiou,,Brebis
Savoie,Tomme de Savoie,http://fr.wikipedia.org/wiki/Tomme_de_Savoie,http://en.wikipedia.org/wiki/Tomme_de_Savoie,Vache
Yonne,Saint-florentin,http://fr.wikipedia.org/wiki/Saint-florentin_%28fromage%29,,Vache
Vaucluse,Picodon,http://fr.wikipedia.org/wiki/Picodon,http://en.wikipedia.org/wiki/Picodon,Chèvre
Jura,Chevret du Haut-Jura,http://fr.wikipedia.org/wiki/Chevret_du_Haut-Jura,,Vache
Savoie,Thollon,http://fr.wikipedia.org/wiki/Thollon,,Vache
Indre,Tournon-saint-pierre,http://fr.wikipedia.org/wiki/Tournon-saint-pierre_%28fromage%29,,Chèvre
Nord,Briquette de l'Ecaillon,http://fr.wikipedia.org/wiki/Briquette_de_l%27Ecaillon,,Chèvre
Nord,Larron d'Ors,http://fr.wikipedia.org/wiki/Larron_d%27Ors,,Vache
Pyrénées-Atlantiques,Kaïkou,http://fr.wikipedia.org/wiki/Ka%C3%AFkou,,Brebis
Savoie,Persillé du Mont-Cenis,http://fr.wikipedia.org/wiki/Persill%C3%A9_du_Mont-Cenis,,Chèvre
Savoie,Tomme blanche,http://fr.wikipedia.org/wiki/Tomme_blanche,,Vache
Saône-et-Loire,Charolais,http://fr.wikipedia.org/wiki/Charolais_%28fromage%29,,Chèvre
Val-de-Marne,Délice de Saint-Cyr,http://fr.wikipedia.org/wiki/D%C3%A9lice_de_Saint-Cyr,,Vache
Haute-Garonne,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,http://en.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Vache
Lozère,Pélardon,http://fr.wikipedia.org/wiki/P%C3%A9lardon,http://en.wikipedia.org/wiki/P%C3%A9lardon,Chèvre
Savoie,Emmental de Savoie,http://fr.wikipedia.org/wiki/Emmental_de_Savoie,,Vache
Doubs,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,Vache
Jura,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,Vache
Seine-et-Marne,Brie de Nangis,http://fr.wikipedia.org/wiki/Brie_de_Nangis,,Vache
Orne,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,http://en.wikipedia.org/wiki/Pont-l%27%C3%89v%C3%AAque_cheese,Vache
Aube,Barberey,http://fr.wikipedia.org/wiki/Barberey_%28fromage%29,,Vache
Hautes-Alpes,Aiguille d'Orcières,http://fr.wikipedia.org/wiki/Aiguille_d%27Orci%C3%A8res,,Vache
Hautes-Alpes,Persillé du col Bayard,http://fr.wikipedia.org/wiki/Persill%C3%A9_du_col_Bayard,,Vache
Nord,Carré du Vinage,http://fr.wikipedia.org/wiki/Carr%C3%A9_du_Vinage,,Vache
Pas-de-Calais,Vieux Samer,http://fr.wikipedia.org/wiki/Vieux_Samer,,Vache
Réunion,Fromage des Plaines,http://fr.wikipedia.org/wiki/Fromage_des_Plaines,,Vache
Hautes-Pyrénées,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,http://en.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Vache
Cher,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,http://en.wikipedia.org/wiki/Valen%C3%A7ay_cheese,Chèvre
Ardèche,Picodon,http://fr.wikipedia.org/wiki/Picodon,http://en.wikipedia.org/wiki/Picodon,Chèvre
Ain,Chevret,http://fr.wikipedia.org/wiki/Chevret,,Chèvre
Allier,Le Délice du Chalet,http://fr.wikipedia.org/wiki/Le_D%C3%A9lice_du_Chalet,,Vache
Cantal,Fromage de Pays,http://fr.wikipedia.org/wiki/Fromage_de_Pays,,Vache
Hautes-Pyrénées,Barousse,http://fr.wikipedia.org/wiki/Barousse_%28fromage%29,,Brebis
Haute-Loire,Bleu de Loudes,http://fr.wikipedia.org/wiki/Bleu_de_Loudes,,Vache
Indre,Arthon,http://fr.wikipedia.org/wiki/Arthon_%28fromage%29,,Chèvre
Loiret,Olivet,http://fr.wikipedia.org/wiki/Olivet_%28fromage%29,http://en.wikipedia.org/wiki/Olivet_cendr%C3%A9,Vache
Pyrénées-Atlantiques,Saint Albray,http://fr.wikipedia.org/wiki/Saint_Albray,http://en.wikipedia.org/wiki/Saint_Albray,Vache
Rhône,Charolais,http://fr.wikipedia.org/wiki/Charolais_%28fromage%29,,Chèvre
Savoie,Beaumont,http://fr.wikipedia.org/wiki/Beaumont_%28fromage%29,,Vache
Yonne,Suprême des Ducs,http://fr.wikipedia.org/wiki/Supr%C3%AAme_des_Ducs,,Vache
Aveyron,Laguiole,http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29,http://en.wikipedia.org/wiki/Laguiole_cheese,Vache
Somme,Rollot,http://fr.wikipedia.org/wiki/Rollot_%28fromage%29,,Vache
Lozère,Lévéjac,http://fr.wikipedia.org/wiki/L%C3%A9v%C3%A9jac_%28marque%29,,Brebis
Indre-et-Loire,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,http://en.wikipedia.org/wiki/Valen%C3%A7ay_cheese,Chèvre
Marne,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,http://en.wikipedia.org/wiki/Brie_de_Meaux,Vache
Rhône,Tarare,http://fr.wikipedia.org/wiki/Tarare_%28fromage%29,,Vache
Lot,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,http://en.wikipedia.org/wiki/Bleu_d%27Auvergne,Vache
Mayenne,Port-Salut,http://fr.wikipedia.org/wiki/Port-Salut_%28marque%29,http://en.wikipedia.org/wiki/Port_Salut,Vache
Ain,Ramequin,http://fr.wikipedia.org/wiki/Ramequin_%28fromage%29,,Vache
Nord,Boulet de Cassel,http://fr.wikipedia.org/wiki/Boulet_de_Cassel,,Vache
Allier,Grand tomachon,http://fr.wikipedia.org/wiki/Grand_tomachon,,Vache
Ardèche,Rogeret des Cévennes,http://fr.wikipedia.org/wiki/Rogeret_des_C%C3%A9vennes,,Chèvre
Ariège,Montségur,http://fr.wikipedia.org/wiki/Monts%C3%A9gur_%28marque%29,,Vache
Haute-Loire,Bleu de Costaros,http://fr.wikipedia.org/wiki/Bleu_de_Costaros,,Vache
Haute-Loire,Montbriac,http://fr.wikipedia.org/wiki/Montbriac,,Vache
Jura,Pérassu,http://fr.wikipedia.org/wiki/P%C3%A9rassu,,Vache
Loire,Rigotte de Pélussin,http://fr.wikipedia.org/wiki/Rigotte_de_P%C3%A9lussin,,Chèvre
Savoie,Tomme forte de Savoie,http://fr.wikipedia.org/wiki/Tomme_forte_de_Savoie,,Vache
Seine-et-Marne,Gratte-Paille,http://fr.wikipedia.org/wiki/Gratte-Paille,,Vache
Yonne,Boulette de la Pierre-qui-Vire,http://fr.wikipedia.org/wiki/Boulette_de_la_Pierre-qui-Vire,,Vache
Charente,Taupinette,http://fr.wikipedia.org/wiki/Taupinette,,Chèvre
Aube,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,http://en.wikipedia.org/wiki/Brie_de_Meaux,Vache
Pas-de-Calais,Fort de Béthune,http://fr.wikipedia.org/wiki/Fort_de_B%C3%A9thune,,Vache
Ain,Emmental de Savoie,http://fr.wikipedia.org/wiki/Emmental_de_Savoie,,Vache
Mayenne,Vieux pané,http://fr.wikipedia.org/wiki/Vieux_pan%C3%A9,,Vache
Mayenne,Chaussée aux moines,http://fr.wikipedia.org/wiki/Chauss%C3%A9e_aux_moines,,Vache
Isère,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,Vache
Aveyron,Bleu des Causses,http://fr.wikipedia.org/wiki/Bleu_des_Causses,http://en.wikipedia.org/wiki/Bleu_des_Causses,Vache
Ariège,Bethmale,http://fr.wikipedia.org/wiki/Bethmale_%28fromage%29,,Vache
Corrèze,Ovalie,http://fr.wikipedia.org/wiki/Ovalie_%28marque%29,,Brebis
Loir-et-Cher,Le Petit Trôo,http://fr.wikipedia.org/wiki/Le_Petit_Tr%C3%B4o,,Vache
Loire,Charolais,http://fr.wikipedia.org/wiki/Charolais_%28fromage%29,,Chèvre
Marne,Moulin de Gaye,http://fr.wikipedia.org/wiki/Moulin_de_Gaye,,Vache
Puy-de-Dôme,Roue de Ris,http://fr.wikipedia.org/wiki/Roue_de_Ris,,Brebis
Pyrénées-Atlantiques,Le Bleu des Basques,http://fr.wikipedia.org/wiki/Le_Bleu_des_Basques,,Brebis
Rhône,La Pierre Dorée,http://fr.wikipedia.org/wiki/La_Pierre_Dor%C3%A9e,,Chèvre
Pyrénées-Atlantiques,Etorki,http://fr.wikipedia.org/wiki/Etorki,http://en.wikipedia.org/wiki/Etorki,Brebis
Ariège,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,http://en.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Vache
Territoire de Belfort,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,http://en.wikipedia.org/wiki/Munster_cheese,Vache
Côte-d'Or,Abbaye de Cîteaux,http://fr.wikipedia.org/wiki/Abbaye_de_C%C3%AEteaux_%28marque%29,,Vaches
Savoie,Brézain,http://fr.wikipedia.org/wiki/Br%C3%A9zain,,Vache
Mayenne,Bons Mayennais,http://fr.wikipedia.org/wiki/Bons_Mayennais,,Vache
Saône-et-Loire,Montrachet,http://fr.wikipedia.org/wiki/Montrachet_%28marque%29,,Chèvre
Loir-et-Cher,Sainte-Maure de Touraine,http://fr.wikipedia.org/wiki/Sainte-Maure_de_Touraine_%28fromage%29,http://en.wikipedia.org/wiki/Sainte-Maure_de_Touraine,Chèvre
Pyrénées-Atlantiques,Tomme des Pyrénées,http://fr.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,http://en.wikipedia.org/wiki/Tomme_des_Pyr%C3%A9n%C3%A9es,Vache
Cher,Santranges-sancerre,http://fr.wikipedia.org/wiki/Santranges-sancerre,,Chèvre
Corrèze,Truffe de Ventadour,http://fr.wikipedia.org/wiki/Truffe_de_Ventadour,,Chèvre
Drôme,Pétafine,http://fr.wikipedia.org/wiki/P%C3%A9tafine,,Chèvre
Hautes-Alpes,Bleu du Dévoluy,http://fr.wikipedia.org/wiki/Bleu_du_D%C3%A9voluy,,Vache
Nord,Tome de Cambrai,http://fr.wikipedia.org/wiki/Tome_de_Cambrai,,Vache
Pas-de-Calais,Vieux Boulogne,http://fr.wikipedia.org/wiki/Vieux_Boulogne,http://en.wikipedia.org/wiki/Vieux-Boulogne,Vaches
Réunion,Piton des Neiges,http://fr.wikipedia.org/wiki/Piton_des_Neiges_%28fromage%29,,Vache
Savoie,Bleu de Sainte-Foy,http://fr.wikipedia.org/wiki/Bleu_de_Sainte-Foy,,Vache
Oise,Neufchâtel,http://fr.wikipedia.org/wiki/Neufch%C3%A2tel_%28fromage%29,http://en.wikipedia.org/wiki/Neufch%C3%A2tel_cheese,Vache
Pyrénées-Atlantiques,Ardi-Gasna,http://fr.wikipedia.org/wiki/Ardi-Gasna,,Brebis
Haute-Marne,Époisses,http://fr.wikipedia.org/wiki/%C3%89poisses_%28fromage%29,http://en.wikipedia.org/wiki/%C3%89poisses_de_Bourgogne,Vache
Cantal,Cabécou,http://fr.wikipedia.org/wiki/Cab%C3%A9cou,http://en.wikipedia.org/wiki/Cab%C3%A9cou,Chèvre
Savoie,Tignard,http://fr.wikipedia.org/wiki/Tignard,,"Vache,Chèvre,Brebis"
Aveyron,Cabécou,http://fr.wikipedia.org/wiki/Cab%C3%A9cou,http://en.wikipedia.org/wiki/Cab%C3%A9cou,Chèvre
Rhône,Arôme au vin blanc,http://fr.wikipedia.org/wiki/Ar%C3%B4me_au_vin_blanc,,Vache
Indre,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,http://en.wikipedia.org/wiki/Valen%C3%A7ay_cheese,Chèvre
Ain,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,,Vache
Aveyron,Tome fraîche,http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche,,Vache
